claim_id,transaction_id,customer_id,claim_date,claim_amount,claim_reason,status
CLM0000001,TXN0002556,CUST00086,2022-08-02,56972.78,dispute,paid
CLM0000002,TXN0000166,CUST00017,2024-07-12,208751.83,non-payment_by_buyer,paid
CLM0000003,TXN0001020,CUST00160,2023-09-23,14075.98,insolvency,paid
CLM0000004,TXN0004449,CUST00097,2024-02-01,1533581.88,non-payment_by_buyer,paid
CLM0000005,TXN0005912,CUST00177,2024-04-28,1174.22,non-payment_by_buyer,rejected
CLM0000006,TXN0001656,CUST00158,2024-06-15,38451.39,non-payment_by_buyer,paid
CLM0000007,TXN0001326,CUST00040,2023-07-04,8078.37,non-payment_by_buyer,pending
CLM0000008,TXN0000534,CUST00135,2024-05-19,987502.3,non-payment_by_buyer,rejected
CLM0000009,TXN0005507,CUST00117,2022-05-28,3230.83,insolvency,rejected
CLM0000010,TXN0001578,CUST00011,2024-05-09,1102.3,non-payment_by_buyer,rejected
CLM0000011,TXN0003314,CUST00145,2023-05-18,97150.3,non-payment_by_buyer,pending
CLM0000012,TXN0004598,CUST00085,2023-09-03,11251855.87,non-payment_by_buyer,rejected
CLM0000013,TXN0004615,CUST00156,2024-09-05,323405.74,insolvency,paid
CLM0000014,TXN0000875,CUST00020,2022-08-13,68795.4,non-payment_by_buyer,rejected
CLM0000015,TXN0005012,CUST00145,2025-02-10,1690810.43,non-payment_by_buyer,rejected
CLM0000016,TXN0003654,CUST00127,2022-02-24,57667.26,dispute,pending
CLM0000017,TXN0001310,CUST00109,2023-05-03,1863920.89,non-payment_by_buyer,paid
CLM0000018,TXN0001837,CUST00117,2022-08-31,2207.72,dispute,rejected
CLM0000019,TXN0002478,CUST00158,2023-03-25,258570.03,non-payment_by_buyer,paid
CLM0000020,TXN0002530,CUST00131,2023-09-12,4252084.87,non-payment_by_buyer,paid
CLM0000021,TXN0001963,CUST00026,2022-07-18,13715.86,non-payment_by_buyer,paid
CLM0000022,TXN0004785,CUST00102,2022-07-27,270006.45,dispute,pending
CLM0000023,TXN0004938,CUST00004,2023-03-15,42803.97,non-payment_by_buyer,paid
CLM0000024,TXN0004464,CUST00118,2024-09-16,4208.21,other,paid
CLM0000025,TXN0004609,CUST00025,2024-01-11,22163.87,non-payment_by_buyer,pending
CLM0000026,TXN0003860,CUST00082,2022-06-17,23165.89,non-payment_by_buyer,pending
CLM0000027,TXN0004672,CUST00070,2022-06-12,3465236.2,other,rejected
CLM0000028,TXN0005419,CUST00017,2023-07-11,130061.21,dispute,paid
CLM0000029,TXN0001348,CUST00177,2025-03-02,20623.42,non-payment_by_buyer,rejected
CLM0000030,TXN0004548,CUST00055,2024-06-16,2678.4,non-payment_by_buyer,rejected
CLM0000031,TXN0005346,CUST00120,2024-10-05,1873.37,non-payment_by_buyer,paid
CLM0000032,TXN0005730,CUST00162,2023-02-11,18697.85,non-payment_by_buyer,paid
CLM0000033,TXN0004565,CUST00102,2022-05-28,5378.13,non-payment_by_buyer,rejected
CLM0000034,TXN0004198,CUST00070,2025-03-30,9501.84,dispute,paid
CLM0000035,TXN0005810,CUST00042,2022-12-02,2594.35,insolvency,rejected
CLM0000036,TXN0002713,CUST00061,2023-01-26,176.14,other,paid
CLM0000037,TXN0005431,CUST00098,2025-04-20,17612.58,non-payment_by_buyer,pending
CLM0000038,TXN0002201,CUST00087,2024-03-11,30830.81,insolvency,pending
CLM0000039,TXN0004921,CUST00117,2024-08-10,2150446.99,non-payment_by_buyer,paid
CLM0000040,TXN0000946,CUST00071,2022-11-04,67904.68,non-payment_by_buyer,pending
CLM0000041,TXN0005321,CUST00163,2024-04-20,99340.6,non-payment_by_buyer,paid
CLM0000042,TXN0005634,CUST00115,2023-12-27,1828.65,dispute,paid
CLM0000043,TXN0003567,CUST00063,2024-11-21,4132.85,non-payment_by_buyer,paid
CLM0000044,TXN0005227,CUST00070,2022-06-28,10039.56,other,pending
CLM0000045,TXN0001367,CUST00074,2023-04-07,9405.37,non-payment_by_buyer,paid
CLM0000046,TXN0005758,CUST00036,2022-07-26,346987.46,insolvency,paid
CLM0000047,TXN0001147,CUST00161,2024-07-20,122773.55,insolvency,pending
CLM0000048,TXN0002560,CUST00037,2024-08-30,3593175.9,non-payment_by_buyer,paid
CLM0000049,TXN0000521,CUST00022,2024-08-01,63611.75,non-payment_by_buyer,paid
CLM0000050,TXN0003988,CUST00060,2024-07-01,163991.69,non-payment_by_buyer,rejected
CLM0000051,TXN0000119,CUST00070,2024-03-28,266.39,non-payment_by_buyer,paid
CLM0000052,TXN0004170,CUST00086,2023-10-08,25822.17,insolvency,paid
CLM0000053,TXN0003653,CUST00047,2025-01-30,186561.45,dispute,paid
CLM0000054,TXN0002772,CUST00135,2024-10-07,9530.64,non-payment_by_buyer,rejected
CLM0000055,TXN0003803,CUST00135,2022-10-05,359534.01,non-payment_by_buyer,paid
CLM0000056,TXN0003805,CUST00167,2022-09-10,1710.37,dispute,paid
CLM0000057,TXN0001390,CUST00141,2024-03-21,10615.51,other,paid
CLM0000058,TXN0002994,CUST00153,2023-08-11,15131.49,non-payment_by_buyer,paid
CLM0000059,TXN0000114,CUST00107,2023-12-02,5125.13,non-payment_by_buyer,paid
CLM0000060,TXN0005792,CUST00167,2025-01-01,38745.89,insolvency,paid
CLM0000061,TXN0005097,CUST00080,2024-03-16,25160.5,non-payment_by_buyer,pending
CLM0000062,TXN0002740,CUST00001,2023-08-29,191053.49,insolvency,paid
CLM0000063,TXN0001959,CUST00070,2022-03-17,1559472.36,insolvency,pending
CLM0000064,TXN0004428,CUST00005,2022-07-07,1058168.96,non-payment_by_buyer,rejected
CLM0000065,TXN0004623,CUST00047,2023-01-22,235244.89,non-payment_by_buyer,rejected
CLM0000066,TXN0003946,CUST00003,2022-09-29,22260.34,dispute,paid
CLM0000067,TXN0000992,CUST00058,2024-03-17,69170.67,non-payment_by_buyer,rejected
CLM0000068,TXN0003173,CUST00125,2025-01-30,174129.06,non-payment_by_buyer,rejected
CLM0000069,TXN0003942,CUST00134,2022-10-10,12011046.88,other,paid
CLM0000070,TXN0005667,CUST00135,2022-07-18,45948.75,non-payment_by_buyer,rejected
CLM0000071,TXN0004208,CUST00019,2024-11-06,12215.98,insolvency,paid
CLM0000072,TXN0002867,CUST00006,2023-09-29,425.51,insolvency,paid
CLM0000073,TXN0004077,CUST00016,2023-01-02,4689.79,non-payment_by_buyer,rejected
CLM0000074,TXN0002172,CUST00134,2022-06-16,3624.16,insolvency,rejected
CLM0000075,TXN0003689,CUST00056,2022-06-22,2578.33,insolvency,rejected
CLM0000076,TXN0003393,CUST00041,2023-05-23,25567.82,insolvency,paid
CLM0000077,TXN0005368,CUST00166,2023-10-15,7870834.22,non-payment_by_buyer,paid
CLM0000078,TXN0001388,CUST00017,2025-01-12,30674.01,non-payment_by_buyer,paid
CLM0000079,TXN0003046,CUST00156,2024-03-10,41735.4,other,paid
CLM0000080,TXN0000465,CUST00020,2025-02-05,10599589.29,dispute,paid
CLM0000081,TXN0000402,CUST00170,2025-04-03,83443.88,insolvency,paid
CLM0000082,TXN0000027,CUST00037,2024-08-19,72741.37,dispute,pending
CLM0000083,TXN0000066,CUST00024,2023-02-06,719.39,non-payment_by_buyer,paid
CLM0000084,TXN0002005,CUST00077,2024-01-09,27074.86,non-payment_by_buyer,paid
CLM0000085,TXN0003377,CUST00170,2023-07-24,12768.79,other,rejected
CLM0000086,TXN0002180,CUST00123,2023-08-16,68078.62,insolvency,paid
CLM0000087,TXN0004514,CUST00167,2022-10-28,214765.46,non-payment_by_buyer,paid
CLM0000088,TXN0000988,CUST00095,2024-09-05,16008.23,non-payment_by_buyer,paid
CLM0000089,TXN0001517,CUST00056,2023-03-25,384032.42,insolvency,pending
CLM0000090,TXN0005593,CUST00005,2022-12-09,2222.25,insolvency,paid
CLM0000091,TXN0005492,CUST00142,2024-08-25,473590.52,insolvency,paid
CLM0000092,TXN0000934,CUST00026,2022-07-25,18460.16,non-payment_by_buyer,pending
CLM0000093,TXN0001789,CUST00155,2022-05-09,128643.97,non-payment_by_buyer,paid
CLM0000094,TXN0004564,CUST00007,2025-02-13,508708.09,non-payment_by_buyer,paid
CLM0000095,TXN0003486,CUST00061,2023-06-21,27645482.12,insolvency,pending
CLM0000096,TXN0003880,CUST00065,2025-04-18,2756853.17,non-payment_by_buyer,pending
CLM0000097,TXN0004515,CUST00115,2025-01-07,4179.35,insolvency,paid
CLM0000098,TXN0003283,CUST00128,2023-08-25,2630153.71,non-payment_by_buyer,rejected
CLM0000099,TXN0002836,CUST00155,2022-10-04,8330964.06,insolvency,paid
CLM0000100,TXN0003920,CUST00054,2025-01-30,10612.65,non-payment_by_buyer,rejected
CLM0000101,TXN0002070,CUST00054,2023-05-08,30630614.95,non-payment_by_buyer,rejected
CLM0000102,TXN0004922,CUST00051,2022-09-29,27668.43,non-payment_by_buyer,rejected
CLM0000103,TXN0003300,CUST00130,2023-05-25,21170928.73,non-payment_by_buyer,paid
CLM0000104,TXN0005171,CUST00068,2023-03-29,3407.77,non-payment_by_buyer,paid
CLM0000105,TXN0000910,CUST00105,2024-05-12,1619.81,insolvency,rejected
CLM0000106,TXN0003438,CUST00003,2023-05-25,13500.86,non-payment_by_buyer,pending
CLM0000107,TXN0004098,CUST00056,2023-03-02,142278.84,other,paid
CLM0000108,TXN0004046,CUST00160,2022-09-07,17441.45,non-payment_by_buyer,pending
CLM0000109,TXN0000708,CUST00120,2022-05-09,22096609.88,insolvency,paid
CLM0000110,TXN0003888,CUST00175,2024-11-28,595239.9,non-payment_by_buyer,paid
CLM0000111,TXN0001055,CUST00058,2024-11-14,8239.33,insolvency,paid
CLM0000112,TXN0000867,CUST00142,2024-02-10,9915518.32,dispute,rejected
CLM0000113,TXN0003170,CUST00052,2022-06-10,2632847.16,non-payment_by_buyer,rejected
CLM0000114,TXN0005581,CUST00111,2022-11-30,478691.54,non-payment_by_buyer,paid
CLM0000115,TXN0001631,CUST00049,2024-01-19,10601.96,non-payment_by_buyer,paid
CLM0000116,TXN0003660,CUST00130,2022-07-11,66124.54,dispute,pending
CLM0000117,TXN0000045,CUST00101,2025-03-13,11953.36,dispute,pending
CLM0000118,TXN0000547,CUST00057,2022-10-13,2597.36,non-payment_by_buyer,paid
CLM0000119,TXN0001687,CUST00036,2023-01-28,9364.38,non-payment_by_buyer,pending
CLM0000120,TXN0000700,CUST00058,2024-03-12,4023.03,non-payment_by_buyer,rejected
CLM0000121,TXN0003845,CUST00001,2025-02-05,39692.87,dispute,paid
CLM0000122,TXN0005894,CUST00060,2023-03-05,20472947.0,non-payment_by_buyer,pending
CLM0000123,TXN0004739,CUST00073,2025-02-12,57805.99,non-payment_by_buyer,rejected
CLM0000124,TXN0002261,CUST00174,2024-05-13,100972.93,insolvency,paid
CLM0000125,TXN0002817,CUST00069,2022-07-16,46664.67,insolvency,paid
CLM0000126,TXN0005922,CUST00145,2023-10-01,1492009.54,dispute,paid
CLM0000127,TXN0005455,CUST00129,2022-12-24,32228.29,non-payment_by_buyer,paid
CLM0000128,TXN0000732,CUST00055,2024-09-21,586115.12,non-payment_by_buyer,paid
CLM0000129,TXN0004602,CUST00042,2024-11-23,29342.34,insolvency,paid
CLM0000130,TXN0001710,CUST00018,2022-03-27,59995.88,dispute,paid
CLM0000131,TXN0001443,CUST00061,2023-12-01,1126121.47,non-payment_by_buyer,paid
CLM0000132,TXN0004610,CUST00069,2022-04-17,46352990.15,non-payment_by_buyer,pending
CLM0000133,TXN0005744,CUST00072,2024-10-19,5250627.46,non-payment_by_buyer,rejected
CLM0000134,TXN0002896,CUST00103,2025-05-07,161204.57,non-payment_by_buyer,paid
CLM0000135,TXN0000068,CUST00076,2024-04-23,13110.88,non-payment_by_buyer,paid
CLM0000136,TXN0001847,CUST00116,2025-02-05,513.98,non-payment_by_buyer,paid
CLM0000137,TXN0000872,CUST00015,2023-03-13,2738.21,other,paid
CLM0000138,TXN0005602,CUST00009,2023-03-02,5961.75,non-payment_by_buyer,paid
CLM0000139,TXN0004433,CUST00157,2024-01-25,197460.77,insolvency,paid
CLM0000140,TXN0000049,CUST00029,2024-05-13,1601183.66,dispute,pending
CLM0000141,TXN0002481,CUST00053,2024-12-26,26521.06,non-payment_by_buyer,paid
CLM0000142,TXN0002695,CUST00072,2023-07-26,77087.52,insolvency,pending
CLM0000143,TXN0004458,CUST00117,2023-03-30,100312.01,non-payment_by_buyer,paid
CLM0000144,TXN0002034,CUST00042,2022-10-11,7546.52,non-payment_by_buyer,paid
CLM0000145,TXN0003243,CUST00087,2024-09-07,3585.93,insolvency,paid
CLM0000146,TXN0003000,CUST00007,2024-11-28,873496.25,non-payment_by_buyer,paid
CLM0000147,TXN0002701,CUST00022,2024-02-06,71933.54,dispute,paid
CLM0000148,TXN0003068,CUST00170,2022-10-29,4515.51,other,rejected
