relationship_id,entity_id_1,entity_type_1,entity_id_2,entity_type_2,relationship_type,source,confidence
REL000001,CPTY00002,counterparty,CPTY00148,counterparty,shared_director,regulatory_filing,high
REL000002,CPTY00148,counterparty,CPTY00156,counterparty,shared_director,regulatory_filing,high
REL000003,CPTY00156,counterparty,CPTY00045,counterparty,shared_director,regulatory_filing,high
REL000004,CPTY00220,counterparty,CPTY00141,counterparty,shared_director,regulatory_filing,high
REL000005,CPTY00218,counterparty,CPTY00073,counterparty,parent_subsidiary,declared,medium
REL000006,INTM00030,intermediary,CPTY00256,counterparty,parent_subsidiary,declared,medium
REL000007,CPTY00204,counterparty,CPTY00112,counterparty,parent_subsidiary,declared,low
REL000008,CPTY00154,counterparty,CPTY00184,counterparty,shared_registered_agent,declared,low
REL000009,CPTY00006,counterparty,CPTY00010,counterparty,shared_address,declared,low
REL000010,CPTY00179,counterparty,CPTY00172,counterparty,shared_director,regulatory_filing,high
REL000011,INTM00006,intermediary,CPTY00069,counterparty,shared_address,regulatory_filing,low
REL000012,CPTY00219,counterparty,CPTY00013,counterparty,shared_director,regulatory_filing,high
REL000013,CPTY00201,counterparty,CPTY00126,counterparty,shared_director,declared,medium
REL000014,INTM00028,intermediary,CPTY00039,counterparty,shared_registered_agent,declared,low
REL000015,INTM00003,intermediary,CPTY00132,counterparty,parent_subsidiary,declared,high
REL000016,CPTY00049,counterparty,CPTY00128,counterparty,shared_director,regulatory_filing,low
REL000017,CPTY00021,counterparty,CPTY00103,counterparty,shared_registered_agent,declared,high
REL000018,INTM00024,intermediary,CPTY00009,counterparty,parent_subsidiary,regulatory_filing,medium
REL000019,CPTY00164,counterparty,CPTY00156,counterparty,shared_director,declared,high
REL000020,CPTY00139,counterparty,CPTY00091,counterparty,parent_subsidiary,declared,medium
REL000021,CPTY00105,counterparty,CPTY00116,counterparty,shared_director,declared,medium
REL000022,CUST00027,customer,CPTY00148,counterparty,shared_address,regulatory_filing,high
REL000023,INTM00022,intermediary,CPTY00041,counterparty,parent_subsidiary,declared,medium
REL000024,CPTY00113,counterparty,CPTY00120,counterparty,shared_registered_agent,declared,low
REL000025,INTM00037,intermediary,CPTY00059,counterparty,parent_subsidiary,declared,high
REL000026,CUST00113,customer,CPTY00110,counterparty,shared_registered_agent,regulatory_filing,high
REL000027,INTM00023,intermediary,CPTY00148,counterparty,shared_registered_agent,regulatory_filing,high
REL000028,CUST00077,customer,CPTY00010,counterparty,shared_director,regulatory_filing,high
REL000029,CUST00091,customer,CPTY00024,counterparty,parent_subsidiary,regulatory_filing,medium
REL000030,INTM00016,intermediary,CPTY00161,counterparty,shared_director,declared,high
REL000031,INTM00009,intermediary,CPTY00054,counterparty,parent_subsidiary,declared,high
REL000032,CPTY00077,counterparty,CPTY00238,counterparty,shared_registered_agent,regulatory_filing,medium
REL000033,INTM00005,intermediary,CPTY00247,counterparty,parent_subsidiary,regulatory_filing,high
REL000034,CUST00160,customer,CPTY00117,counterparty,shared_director,regulatory_filing,high
REL000035,CPTY00188,counterparty,CPTY00183,counterparty,parent_subsidiary,regulatory_filing,high
REL000036,CUST00029,customer,CPTY00209,counterparty,parent_subsidiary,declared,high
REL000037,CUST00147,customer,CPTY00120,counterparty,shared_director,declared,medium
REL000038,CPTY00007,counterparty,CPTY00213,counterparty,shared_director,declared,low
REL000039,CPTY00055,counterparty,CPTY00171,counterparty,shared_director,regulatory_filing,medium
REL000040,CUST00071,customer,CPTY00201,counterparty,shared_address,declared,low
REL000041,CPTY00120,counterparty,CPTY00023,counterparty,shared_registered_agent,declared,medium
REL000042,INTM00023,intermediary,CPTY00055,counterparty,shared_registered_agent,declared,medium
REL000043,CPTY00231,counterparty,CPTY00131,counterparty,shared_registered_agent,regulatory_filing,low
REL000044,INTM00043,intermediary,CPTY00258,counterparty,shared_address,declared,high
REL000045,INTM00015,intermediary,CPTY00210,counterparty,shared_registered_agent,regulatory_filing,low
REL000046,CUST00079,customer,CPTY00251,counterparty,shared_registered_agent,declared,low
REL000047,CPTY00219,counterparty,CPTY00136,counterparty,shared_director,declared,low
REL000048,INTM00004,intermediary,CPTY00020,counterparty,shared_address,declared,low
REL000049,CUST00063,customer,CPTY00010,counterparty,shared_address,regulatory_filing,high
REL000050,CUST00153,customer,CPTY00011,counterparty,shared_registered_agent,regulatory_filing,high
REL000051,CUST00125,customer,CPTY00003,counterparty,shared_address,declared,medium
REL000052,CPTY00229,counterparty,CPTY00183,counterparty,shared_address,regulatory_filing,low
REL000053,CUST00044,customer,CPTY00099,counterparty,shared_address,regulatory_filing,high
REL000054,CUST00110,customer,CPTY00156,counterparty,parent_subsidiary,declared,low
REL000055,INTM00034,intermediary,CPTY00151,counterparty,parent_subsidiary,declared,high
REL000056,CUST00082,customer,CPTY00114,counterparty,shared_director,regulatory_filing,high
REL000057,CPTY00121,counterparty,CPTY00123,counterparty,shared_address,regulatory_filing,medium
REL000058,CUST00077,customer,CPTY00146,counterparty,parent_subsidiary,declared,high
REL000059,CPTY00185,counterparty,CPTY00138,counterparty,shared_registered_agent,regulatory_filing,high
REL000060,INTM00016,intermediary,CPTY00118,counterparty,parent_subsidiary,declared,low
REL000061,CPTY00249,counterparty,CPTY00251,counterparty,shared_address,regulatory_filing,medium
REL000062,INTM00031,intermediary,CPTY00238,counterparty,shared_registered_agent,regulatory_filing,low
REL000063,CUST00138,customer,CPTY00102,counterparty,parent_subsidiary,regulatory_filing,high
REL000064,INTM00023,intermediary,CPTY00091,counterparty,parent_subsidiary,declared,low
REL000065,CUST00092,customer,CPTY00218,counterparty,parent_subsidiary,regulatory_filing,medium
REL000066,CUST00116,customer,CPTY00240,counterparty,shared_address,declared,high
REL000067,INTM00040,intermediary,CPTY00235,counterparty,parent_subsidiary,regulatory_filing,medium
REL000068,CUST00038,customer,CPTY00100,counterparty,shared_address,declared,low
REL000069,CPTY00073,counterparty,CPTY00229,counterparty,parent_subsidiary,regulatory_filing,high
REL000070,INTM00038,intermediary,CPTY00074,counterparty,shared_address,declared,medium
