payment_id,transaction_id,payment_date,amount,currency,payment_method,paying_entity_id,paying_entity_type,settlement_route
PAY0000001,TXN0000001,2024-01-30,48485.41,EUR,wire,CUST00054,customer,direct
PAY0000002,TXN0000002,2024-02-28,11631.93,GBP,wire,CUST00122,customer,direct
PAY0000003,TXN0000003,2023-05-26,113283.3,EUR,wire,CUST00158,customer,direct
PAY0000004,TXN0000004,2024-10-25,20376702.93,GBP,letter_of_credit,CUST00046,customer,direct
PAY0000005,TXN0000005,2024-11-25,9207.76,EUR,letter_of_credit,CUST00053,customer,direct
PAY0000006,TXN0000006,2023-06-28,19836.73,EUR,letter_of_credit,CUST00148,customer,direct
PAY0000007,TXN0000007,2024-10-25,577007.92,USD,wire,CUST00084,customer,direct
PAY0000008,TXN0000008,2024-01-17,15435.15,EUR,wire,CUST00093,customer,direct
PAY0000009,TXN0000009,2022-06-22,20520.6,EUR,letter_of_credit,CUST00128,customer,direct
PAY0000010,TXN0000012,2022-09-25,12991.66,GBP,wire,CUST00066,customer,direct
PAY0000011,TXN0000013,2023-01-10,64714.77,GBP,letter_of_credit,CUST00119,customer,direct
PAY0000012,TXN0000014,2022-04-23,1906.22,GBP,letter_of_credit,CUST00078,customer,direct
PAY0000013,TXN0000016,2023-04-28,8362125.36,GBP,letter_of_credit,CUST00111,customer,direct
PAY0000014,TXN0000017,2023-11-11,499418.09,EUR,wire,CUST00032,customer,direct
PAY0000015,TXN0000018,2023-08-14,17478.79,GBP,wire,CUST00034,customer,direct
PAY0000016,TXN0000019,2022-12-03,463.0,GBP,wire,CUST00158,customer,direct
PAY0000017,TXN0000020,2023-12-19,6749.12,GBP,documentary_collection,CUST00094,customer,direct
PAY0000018,TXN0000022,2023-01-17,67809.25,GBP,documentary_collection,CUST00026,customer,direct
PAY0000019,TXN0000025,2024-07-06,79150.38,USD,letter_of_credit,CUST00176,customer,direct
PAY0000020,TXN0000026,2023-09-06,3424.59,GBP,wire,CUST00071,customer,direct
PAY0000021,TXN0000027,2024-07-31,85870.73,USD,wire,CUST00037,customer,direct
PAY0000022,TXN0000028,2022-04-08,883027.43,USD,documentary_collection,CUST00076,customer,direct
PAY0000023,TXN0000029,2022-05-10,9584.41,GBP,wire,CUST00025,customer,direct
PAY0000024,TXN0000030,2023-04-14,12008.99,GBP,documentary_collection,CUST00099,customer,direct
PAY0000025,TXN0000031,2022-09-29,1057.92,USD,wire,CUST00113,customer,direct
PAY0000026,TXN0000032,2022-02-08,13054172.87,USD,letter_of_credit,CUST00178,customer,direct
PAY0000027,TXN0000033,2022-09-07,83351.88,GBP,letter_of_credit,CUST00058,customer,direct
PAY0000028,TXN0000034,2022-11-16,241714.46,USD,wire,CUST00036,customer,direct
PAY0000029,TXN0000035,2024-11-08,81400.28,GBP,documentary_collection,CUST00025,customer,direct
PAY0000030,TXN0000036,2024-06-03,46460.3,GBP,wire,CUST00068,customer,direct
PAY0000031,TXN0000037,2023-02-12,9199.95,GBP,documentary_collection,CUST00109,customer,direct
PAY0000032,TXN0000038,2024-12-19,877779.97,USD,wire,CUST00012,customer,direct
PAY0000033,TXN0000039,2024-07-30,9538.8,GBP,letter_of_credit,CUST00137,customer,direct
PAY0000034,TXN0000040,2022-10-12,40636.35,USD,letter_of_credit,CUST00083,customer,direct
PAY0000035,TXN0000041,2023-07-07,7447.1,GBP,letter_of_credit,CUST00143,customer,direct
PAY0000036,TXN0000042,2024-10-29,7205.72,GBP,letter_of_credit,CUST00084,customer,direct
PAY0000037,TXN0000043,2023-06-03,1918.88,GBP,wire,CUST00028,customer,direct
PAY0000038,TXN0000045,2024-10-05,16186.49,USD,letter_of_credit,CUST00101,customer,direct
PAY0000039,TXN0000047,2023-06-04,295492.27,GBP,wire,CUST00147,customer,direct
PAY0000040,TXN0000048,2024-09-04,2534.88,GBP,wire,CUST00158,customer,direct
PAY0000041,TXN0000049,2024-04-25,1893570.0,GBP,wire,CUST00029,customer,direct
PAY0000042,TXN0000050,2023-01-27,101142.79,EUR,letter_of_credit,CUST00057,customer,direct
PAY0000043,TXN0000051,2023-05-02,50988.57,USD,letter_of_credit,CUST00038,customer,direct
PAY0000044,TXN0000052,2022-03-08,26334059.98,USD,letter_of_credit,INTM00043,intermediary,third_party
PAY0000045,TXN0000053,2022-05-18,6079.31,GBP,wire,CUST00001,customer,direct
PAY0000046,TXN0000054,2024-12-21,42688649.88,USD,wire,CUST00015,customer,direct
PAY0000047,TXN0000055,2022-03-18,1768.91,USD,wire,CUST00095,customer,direct
PAY0000048,TXN0000056,2024-08-13,1748038.27,USD,documentary_collection,CUST00028,customer,direct
PAY0000049,TXN0000057,2022-09-05,6025.71,GBP,wire,CUST00036,customer,direct
PAY0000050,TXN0000058,2023-09-22,138218.59,GBP,wire,CUST00022,customer,direct
PAY0000051,TXN0000059,2024-04-05,3135.58,GBP,wire,CUST00131,customer,direct
