shipment_id,transaction_id,origin_country_id,destination_country_id,departure_date,arrival_date,declared_weight_kg,declared_value,mode,container_ref
SHIP0000001,TXN0000001,GB,JP,2024-01-19,2024-01-26,3491.6,48485.41,sea,CNT550231
SHIP0000002,TXN0000002,GB,AU,2024-02-15,2024-02-24,738760.2,11631.93,air,CNT262123
SHIP0000003,TXN0000003,FR,GB,2023-05-24,2023-06-07,228.5,113283.3,sea,CNT239070
SHIP0000004,TXN0000004,GB,GB,2024-10-23,2024-11-01,470324.9,20376702.93,sea,CNT285935
SHIP0000005,TXN0000005,SG,GB,2024-10-17,2024-11-06,9231.3,9207.76,air,CNT918444
SHIP0000006,TXN0000006,GB,GH,2023-06-13,2023-06-23,2998977.0,19836.73,air,CNT756558
SHIP0000007,TXN0000007,GB,IN,2024-09-19,2024-09-29,38281.3,577007.92,sea,CNT276981
SHIP0000008,TXN0000008,GB,ZA,2023-12-07,2024-01-03,8252.7,15435.15,road,CNT901337
SHIP0000009,TXN0000009,GB,SA,2022-06-06,2022-06-22,3592.7,20520.6,sea,CNT246583
SHIP0000010,TXN0000010,IE,GB,2022-05-15,2022-06-12,684.6,21818.19,road,CNT387111
SHIP0000011,TXN0000011,SA,GB,2022-04-04,2022-04-14,29915.1,3152.9,sea,CNT941552
SHIP0000012,TXN0000012,AE,GB,2022-08-24,2022-09-22,2174.3,12991.66,sea,CNT331310
SHIP0000013,TXN0000013,GB,IN,2022-12-17,2022-12-23,2190.1,64714.77,sea,CNT742073
SHIP0000014,TXN0000014,GB,DE,2022-03-26,2022-04-12,391377.6,1906.22,sea,CNT715155
SHIP0000015,TXN0000015,EG,GB,2023-11-05,2023-11-10,7821887.3,4201247.22,sea,CNT948240
SHIP0000016,TXN0000016,GB,BR,2023-04-04,2023-04-16,1793063.2,8362125.36,road,CNT484674
SHIP0000017,TXN0000017,GB,IE,2023-10-28,2023-11-14,24876.7,499418.09,sea,CNT591989
SHIP0000018,TXN0000018,GB,AU,2023-07-10,2023-07-28,4908915.1,17478.79,sea,CNT950806
SHIP0000019,TXN0000019,GB,US,2022-11-01,2022-11-25,5872.2,463.0,sea,CNT884299
SHIP0000020,TXN0000020,GB,DE,2023-11-07,2023-11-19,443371.0,6749.12,sea,CNT806723
SHIP0000021,TXN0000021,GB,GB,2024-11-12,2024-12-05,2240.7,3137.78,road,CNT740025
SHIP0000022,TXN0000022,SG,GB,2022-12-21,2023-01-03,120320.0,67809.25,sea,CNT433482
SHIP0000023,TXN0000023,GB,GB,2022-12-10,2022-12-17,17196.8,1307505.36,sea,CNT814811
SHIP0000024,TXN0000024,GB,US,2023-07-27,2023-08-01,223.2,100427.53,road,CNT702713
SHIP0000025,TXN0000025,GB,CA,2024-06-08,2024-07-08,76.1,79150.38,air,CNT936383
SHIP0000026,TXN0000026,GB,ES,2023-08-15,2023-09-04,349321.0,3424.59,sea,CNT949811
SHIP0000027,TXN0000027,GB,IE,2024-07-06,2024-07-26,1096.0,85870.73,road,CNT134298
SHIP0000028,TXN0000028,GB,BR,2022-03-30,2022-04-29,178671.3,883027.43,sea,CNT845901
SHIP0000029,TXN0000029,GB,NG,2022-04-21,2022-05-24,230951.2,9584.41,sea,CNT133526
SHIP0000030,TXN0000030,GB,AE,2023-03-29,2023-04-25,1912670.7,12008.99,air,CNT595189
SHIP0000031,TXN0000031,AE,GB,2022-09-18,2022-10-11,6132646.4,1057.92,road,CNT204211
SHIP0000032,TXN0000032,GB,FR,2022-02-02,2022-03-05,5263427.8,13054172.87,road,CNT427247
SHIP0000033,TXN0000033,GB,ZA,2022-08-31,2022-09-09,558.2,83351.88,road,CNT458844
SHIP0000034,TXN0000034,ZA,GB,2022-11-02,2022-12-06,4048.0,241714.46,sea,CNT776727
SHIP0000035,TXN0000035,GH,GB,2024-10-10,2024-10-18,3238.1,81400.28,air,CNT232179
