transaction_intermediary_id,transaction_id,intermediary_id,intermediary_role,sequence_order,role_start_date,role_end_date,source_confidence
TI0000001,TXN0004522,INTM00038,freight_forwarder,1,2022-09-11,2022-09-20,high
TI0000002,TXN0002722,INTM00038,freight_forwarder,1,2024-05-10,2024-05-18,high
TI0000003,TXN0003482,INTM00038,freight_forwarder,1,2023-05-07,2023-05-31,high
TI0000004,TXN0000863,INTM00038,freight_forwarder,1,2022-01-15,2022-01-25,high
TI0000005,TXN0003554,INTM00038,freight_forwarder,1,2024-02-01,2024-02-17,high
TI0000006,TXN0001329,INTM00038,freight_forwarder,1,2023-09-08,2023-09-21,high
TI0000007,TXN0002327,INTM00038,freight_forwarder,1,2023-09-22,2023-10-17,high
TI0000008,TXN0002268,INTM00038,freight_forwarder,1,2022-04-06,2022-04-16,high
TI0000009,TXN0002574,INTM00038,freight_forwarder,1,2024-09-11,2024-09-28,high
TI0000010,TXN0002035,INTM00038,freight_forwarder,1,2023-05-13,2023-06-09,high
TI0000011,TXN0005838,INTM00038,freight_forwarder,1,2023-02-16,2023-03-04,high
TI0000012,TXN0000254,INTM00038,freight_forwarder,1,2022-06-05,2022-06-14,high
TI0000013,TXN0003587,INTM00038,freight_forwarder,1,2023-02-27,2023-03-11,high
TI0000014,TXN0001287,INTM00038,freight_forwarder,1,2022-09-02,2022-09-09,high
TI0000015,TXN0001829,INTM00038,freight_forwarder,1,2022-02-11,2022-03-08,high
TI0000016,TXN0003703,INTM00038,freight_forwarder,1,2024-05-20,2024-06-14,high
TI0000017,TXN0000339,INTM00038,freight_forwarder,1,2023-12-04,2024-01-02,high
TI0000018,TXN0005383,INTM00038,freight_forwarder,1,2022-06-27,2022-07-05,high
TI0000019,TXN0004310,INTM00038,freight_forwarder,1,2022-10-14,2022-10-25,high
TI0000020,TXN0001196,INTM00038,freight_forwarder,1,2022-08-17,2022-08-22,high
TI0000021,TXN0005385,INTM00038,freight_forwarder,1,2022-07-26,2022-08-12,high
TI0000022,TXN0001272,INTM00038,freight_forwarder,1,2023-06-21,2023-07-12,high
TI0000023,TXN0004606,INTM00038,freight_forwarder,1,2024-09-13,2024-09-25,high
TI0000024,TXN0004472,INTM00038,freight_forwarder,1,2022-05-19,2022-05-27,high
TI0000025,TXN0003319,INTM00038,freight_forwarder,1,2023-05-22,2023-05-29,high
TI0000026,TXN0003829,INTM00038,freight_forwarder,1,2024-06-20,2024-07-04,high
TI0000027,TXN0002963,INTM00038,freight_forwarder,1,2024-04-02,2024-04-26,high
TI0000028,TXN0005317,INTM00038,freight_forwarder,1,2023-12-14,2023-12-27,high
TI0000029,TXN0000234,INTM00038,freight_forwarder,1,2022-04-02,2022-04-23,high
TI0000030,TXN0000874,INTM00038,freight_forwarder,1,2022-02-10,2022-03-11,high
TI0000031,TXN0004688,INTM00038,freight_forwarder,1,2023-09-22,2023-09-28,high
TI0000032,TXN0005414,INTM00038,freight_forwarder,1,2023-01-24,2023-01-31,high
TI0000033,TXN0003110,INTM00038,freight_forwarder,1,2022-09-30,2022-10-23,high
TI0000034,TXN0001670,INTM00038,freight_forwarder,1,2022-04-07,2022-04-13,high
TI0000035,TXN0003659,INTM00038,freight_forwarder,1,2024-05-12,2024-05-28,high
TI0000036,TXN0001655,INTM00038,freight_forwarder,1,2023-11-21,2023-12-15,high
TI0000037,TXN0001744,INTM00038,freight_forwarder,1,2024-09-11,2024-10-05,high
TI0000038,TXN0002525,INTM00038,freight_forwarder,1,2023-02-11,2023-02-24,high
TI0000039,TXN0000658,INTM00038,freight_forwarder,1,2024-01-02,2024-01-09,high
TI0000040,TXN0005775,INTM00038,freight_forwarder,1,2022-08-04,2022-08-23,high
TI0000041,TXN0003454,INTM00038,freight_forwarder,1,2024-02-27,2024-03-12,high
TI0000042,TXN0000618,INTM00038,freight_forwarder,1,2024-01-14,2024-01-19,high
TI0000043,TXN0000496,INTM00038,freight_forwarder,1,2024-01-22,2024-02-17,high
TI0000044,TXN0003727,INTM00038,freight_forwarder,1,2023-07-31,2023-08-29,high
TI0000045,TXN0000024,INTM00038,freight_forwarder,1,2023-07-20,2023-07-25,high
TI0000046,TXN0005100,INTM00038,freight_forwarder,1,2023-12-23,2024-01-13,high
TI0000047,TXN0004258,INTM00038,freight_forwarder,1,2023-09-13,2023-09-24,high
TI0000048,TXN0005674,INTM00038,freight_forwarder,1,2022-02-05,2022-02-26,high
TI0000049,TXN0003145,INTM00038,freight_forwarder,1,2023-01-03,2023-01-10,high
TI0000050,TXN0004620,INTM00038,freight_forwarder,1,2022-02-24,2022-03-19,high
TI0000051,TXN0005512,INTM00038,freight_forwarder,1,2023-08-06,2023-08-13,high
TI0000052,TXN0000383,INTM00038,freight_forwarder,1,2022-10-21,2022-11-04,high
TI0000053,TXN0002454,INTM00038,freight_forwarder,1,2023-03-31,2023-04-13,high
TI0000054,TXN0004930,INTM00038,freight_forwarder,1,2024-02-10,2024-02-25,high
TI0000055,TXN0000730,INTM00038,freight_forwarder,1,2023-09-05,2023-09-21,high
TI0000056,TXN0004664,INTM00038,freight_forwarder,1,2022-11-26,2022-12-11,high
TI0000057,TXN0004279,INTM00038,freight_forwarder,1,2022-11-07,2022-11-16,high
TI0000058,TXN0005678,INTM00038,freight_forwarder,1,2023-05-16,2023-06-09,high
TI0000059,TXN0002599,INTM00038,freight_forwarder,1,2022-07-03,2022-08-01,high
TI0000060,TXN0001082,INTM00038,freight_forwarder,1,2024-03-10,2024-03-17,high
TI0000061,TXN0002368,INTM00038,freight_forwarder,1,2022-11-09,2022-11-28,high
TI0000062,TXN0003015,INTM00038,freight_forwarder,1,2023-06-19,2023-07-01,high
TI0000063,TXN0003993,INTM00038,freight_forwarder,1,2022-08-30,2022-09-27,high
TI0000064,TXN0002374,INTM00038,freight_forwarder,1,2022-09-16,2022-10-10,high
TI0000065,TXN0002941,INTM00038,freight_forwarder,1,2024-07-20,2024-08-09,high
TI0000066,TXN0004160,INTM00038,freight_forwarder,1,2024-07-20,2024-07-26,high
TI0000067,TXN0001960,INTM00038,freight_forwarder,1,2023-01-16,2023-02-09,high
TI0000068,TXN0000965,INTM00038,freight_forwarder,1,2022-09-21,2022-10-19,high
TI0000069,TXN0004358,INTM00038,freight_forwarder,1,2023-05-04,2023-06-01,high
TI0000070,TXN0000256,INTM00038,freight_forwarder,1,2024-05-07,2024-05-25,high
TI0000071,TXN0003950,INTM00038,freight_forwarder,1,2024-08-06,2024-08-26,high
TI0000072,TXN0001897,INTM00038,freight_forwarder,1,2024-11-22,2024-11-30,high
TI0000073,TXN0005565,INTM00038,freight_forwarder,1,2024-12-29,2025-01-04,high
TI0000074,TXN0004333,INTM00038,freight_forwarder,1,2024-08-27,2024-09-05,high
TI0000075,TXN0003878,INTM00038,freight_forwarder,1,2024-06-24,2024-07-07,high
TI0000076,TXN0003833,INTM00038,freight_forwarder,1,2023-02-20,2023-03-02,high
TI0000077,TXN0003370,INTM00038,freight_forwarder,1,2022-06-09,2022-06-25,high
TI0000078,TXN0001789,INTM00038,freight_forwarder,1,2022-02-21,2022-03-02,high
TI0000079,TXN0003185,INTM00038,freight_forwarder,1,2024-01-25,2024-02-19,high
TI0000080,TXN0003566,INTM00038,freight_forwarder,1,2023-03-11,2023-03-28,high
TI0000081,TXN0005784,INTM00038,freight_forwarder,1,2022-12-05,2022-12-12,high
TI0000082,TXN0003187,INTM00038,freight_forwarder,1,2022-08-31,2022-09-25,high
TI0000083,TXN0003517,INTM00038,freight_forwarder,1,2024-03-31,2024-04-05,high
TI0000084,TXN0001875,INTM00038,freight_forwarder,1,2023-11-20,2023-11-29,high
TI0000085,TXN0001880,INTM00038,freight_forwarder,1,2024-04-16,2024-05-07,high
TI0000086,TXN0000120,INTM00038,freight_forwarder,1,2022-11-09,2022-11-15,high
TI0000087,TXN0005990,INTM00038,freight_forwarder,1,2022-07-08,2022-07-19,high
TI0000088,TXN0003028,INTM00038,freight_forwarder,1,2022-09-09,2022-09-14,high
TI0000089,TXN0001363,INTM00038,freight_forwarder,1,2022-12-30,2023-01-05,high
TI0000090,TXN0000057,INTM00038,freight_forwarder,1,2022-08-17,2022-08-25,high
TI0000091,TXN0004247,INTM00038,freight_forwarder,1,2022-10-13,2022-10-21,high
TI0000092,TXN0000035,INTM00038,freight_forwarder,1,2024-10-04,2024-10-14,high
TI0000093,TXN0001285,INTM00038,freight_forwarder,1,2022-07-19,2022-08-14,high
TI0000094,TXN0003714,INTM00038,freight_forwarder,1,2022-06-01,2022-06-16,high
TI0000095,TXN0001900,INTM00038,freight_forwarder,1,2022-01-29,2022-02-03,high
TI0000096,TXN0002809,INTM00038,freight_forwarder,1,2024-07-17,2024-08-09,high
TI0000097,TXN0000676,INTM00038,freight_forwarder,1,2023-08-07,2023-08-13,high
TI0000098,TXN0003891,INTM00038,freight_forwarder,1,2024-08-08,2024-08-13,high
TI0000099,TXN0003354,INTM00038,freight_forwarder,1,2024-02-27,2024-03-19,high
TI0000100,TXN0005808,INTM00038,freight_forwarder,1,2024-01-29,2024-02-10,high
TI0000101,TXN0000691,INTM00038,freight_forwarder,1,2024-05-19,2024-06-16,high
TI0000102,TXN0004939,INTM00038,freight_forwarder,1,2024-01-21,2024-01-26,high
TI0000103,TXN0002635,INTM00038,freight_forwarder,1,2023-07-05,2023-07-16,high
TI0000104,TXN0005629,INTM00038,freight_forwarder,1,2024-10-01,2024-10-30,high
TI0000105,TXN0003995,INTM00038,freight_forwarder,1,2023-05-20,2023-06-12,high
TI0000106,TXN0003619,INTM00038,freight_forwarder,1,2024-06-28,2024-07-20,high
TI0000107,TXN0005819,INTM00038,freight_forwarder,1,2022-05-20,2022-05-27,high
TI0000108,TXN0004433,INTM00038,freight_forwarder,1,2023-08-20,2023-08-29,high
TI0000109,TXN0003075,INTM00038,freight_forwarder,1,2024-06-16,2024-07-05,high
TI0000110,TXN0001970,INTM00038,freight_forwarder,1,2024-03-13,2024-03-20,high
TI0000111,TXN0001367,INTM00038,freight_forwarder,1,2022-12-15,2023-01-07,high
TI0000112,TXN0001446,INTM00038,freight_forwarder,1,2024-04-30,2024-05-12,high
TI0000113,TXN0004114,INTM00038,freight_forwarder,1,2022-02-27,2022-03-16,high
TI0000114,TXN0001408,INTM00038,freight_forwarder,1,2024-04-04,2024-04-27,high
TI0000115,TXN0001840,INTM00038,freight_forwarder,1,2024-03-19,2024-03-25,high
TI0000116,TXN0004166,INTM00038,freight_forwarder,1,2023-09-13,2023-10-12,high
TI0000117,TXN0001669,INTM00038,freight_forwarder,1,2024-04-12,2024-05-08,high
TI0000118,TXN0004810,INTM00038,freight_forwarder,1,2022-07-09,2022-07-20,high
TI0000119,TXN0003807,INTM00038,freight_forwarder,1,2024-07-05,2024-07-16,high
TI0000120,TXN0000279,INTM00038,freight_forwarder,1,2024-04-12,2024-05-07,high
TI0000121,TXN0000351,INTM00038,freight_forwarder,1,2023-01-04,2023-01-26,high
TI0000122,TXN0004072,INTM00038,freight_forwarder,1,2023-12-04,2023-12-29,high
TI0000123,TXN0002334,INTM00038,freight_forwarder,1,2023-09-17,2023-10-05,high
TI0000124,TXN0001246,INTM00038,freight_forwarder,1,2023-03-22,2023-04-12,high
TI0000125,TXN0002206,INTM00038,freight_forwarder,1,2024-05-26,2024-06-24,high
TI0000126,TXN0000742,INTM00038,freight_forwarder,1,2023-09-18,2023-10-05,high
TI0000127,TXN0000918,INTM00038,freight_forwarder,1,2023-09-27,2023-10-12,high
TI0000128,TXN0004960,INTM00038,freight_forwarder,1,2024-06-17,2024-07-15,high
TI0000129,TXN0003637,INTM00038,freight_forwarder,1,2023-08-03,2023-08-29,high
TI0000130,TXN0005938,INTM00038,freight_forwarder,1,2024-01-24,2024-02-14,high
TI0000131,TXN0004636,INTM00038,freight_forwarder,1,2022-12-09,2022-12-23,high
TI0000132,TXN0000156,INTM00038,freight_forwarder,1,2024-06-22,2024-07-10,high
TI0000133,TXN0001844,INTM00038,freight_forwarder,1,2022-07-20,2022-08-11,high
TI0000134,TXN0004895,INTM00038,freight_forwarder,1,2023-10-22,2023-11-11,high
TI0000135,TXN0002242,INTM00038,freight_forwarder,1,2022-02-27,2022-03-15,high
TI0000136,TXN0002730,INTM00038,freight_forwarder,1,2024-06-20,2024-07-14,high
TI0000137,TXN0002277,INTM00038,freight_forwarder,1,2022-09-19,2022-10-09,high
TI0000138,TXN0001641,INTM00038,freight_forwarder,1,2022-05-31,2022-06-08,high
TI0000139,TXN0003497,INTM00038,freight_forwarder,1,2024-04-08,2024-04-16,high
TI0000140,TXN0000484,INTM00038,freight_forwarder,1,2024-11-30,2024-12-25,high
TI0000141,TXN0004602,INTM00038,freight_forwarder,1,2024-09-21,2024-10-09,high
TI0000142,TXN0000570,INTM00038,freight_forwarder,1,2024-02-18,2024-03-15,high
TI0000143,TXN0000869,INTM00038,freight_forwarder,1,2024-04-09,2024-04-25,high
TI0000144,TXN0004265,INTM00038,freight_forwarder,1,2024-07-10,2024-07-23,high
TI0000145,TXN0000093,INTM00038,freight_forwarder,1,2024-01-25,2024-02-05,high
TI0000146,TXN0002149,INTM00038,freight_forwarder,1,2024-06-08,2024-06-14,high
TI0000147,TXN0004455,INTM00038,freight_forwarder,1,2024-09-14,2024-10-05,high
TI0000148,TXN0001842,INTM00038,freight_forwarder,1,2022-05-19,2022-06-12,high
TI0000149,TXN0002060,INTM00038,freight_forwarder,1,2024-04-06,2024-04-29,high
TI0000150,TXN0005728,INTM00038,freight_forwarder,1,2022-03-30,2022-04-25,high
TI0000151,TXN0003142,INTM00038,freight_forwarder,1,2024-02-27,2024-03-23,high
TI0000152,TXN0002342,INTM00038,freight_forwarder,1,2023-08-17,2023-09-05,high
TI0000153,TXN0003980,INTM00038,freight_forwarder,1,2022-12-15,2022-12-22,high
TI0000154,TXN0003265,INTM00038,freight_forwarder,1,2024-05-13,2024-06-05,high
TI0000155,TXN0005957,INTM00038,freight_forwarder,1,2022-02-10,2022-03-01,high
TI0000156,TXN0001561,INTM00038,freight_forwarder,1,2024-01-06,2024-01-30,high
TI0000157,TXN0004590,INTM00038,freight_forwarder,1,2022-09-22,2022-10-11,high
TI0000158,TXN0002821,INTM00038,freight_forwarder,1,2023-03-13,2023-03-25,high
TI0000159,TXN0001958,INTM00038,freight_forwarder,1,2022-01-16,2022-01-26,high
TI0000160,TXN0002225,INTM00038,freight_forwarder,1,2022-06-03,2022-06-10,high
TI0000161,TXN0001106,INTM00038,freight_forwarder,1,2022-06-02,2022-06-16,high
TI0000162,TXN0004692,INTM00038,freight_forwarder,1,2022-01-11,2022-02-06,high
TI0000163,TXN0003231,INTM00038,freight_forwarder,1,2022-02-25,2022-03-06,high
TI0000164,TXN0004256,INTM00038,freight_forwarder,1,2023-10-01,2023-10-12,high
TI0000165,TXN0003001,INTM00038,freight_forwarder,1,2024-11-09,2024-11-18,high
TI0000166,TXN0005333,INTM00038,freight_forwarder,1,2024-08-18,2024-09-02,high
TI0000167,TXN0002391,INTM00038,freight_forwarder,1,2024-04-19,2024-04-27,high
TI0000168,TXN0002748,INTM00038,freight_forwarder,1,2023-05-24,2023-06-19,high
TI0000169,TXN0005755,INTM00038,freight_forwarder,1,2023-03-19,2023-04-15,high
TI0000170,TXN0003687,INTM00038,freight_forwarder,1,2024-10-30,2024-11-12,high
TI0000171,TXN0003241,INTM00038,freight_forwarder,1,2023-08-02,2023-08-09,high
TI0000172,TXN0000998,INTM00038,freight_forwarder,1,2022-12-12,2022-12-27,high
TI0000173,TXN0005945,INTM00038,freight_forwarder,1,2023-04-04,2023-04-09,high
TI0000174,TXN0002292,INTM00038,freight_forwarder,1,2023-01-26,2023-01-31,high
TI0000175,TXN0001183,INTM00038,freight_forwarder,1,2023-08-23,2023-09-09,high
TI0000176,TXN0000151,INTM00038,freight_forwarder,1,2024-10-17,2024-10-23,high
TI0000177,TXN0003444,INTM00038,freight_forwarder,1,2024-11-03,2024-11-20,high
