transaction_id,customer_id,counterparty_id,product_id,destination_country_id,transaction_date,invoice_value,currency,incoterm,direction,stated_purpose
TXN0000001,CUST00054,CPTY00260,PROD0002,JP,2024-01-12,48485.41,EUR,FCA,export,Distribution contract
TXN0000002,CUST00122,CPTY00006,PROD0010,AU,2024-02-09,11631.93,GBP,CIF,export,Commercial goods sale
TXN0000003,CUST00158,CPTY00046,PROD0016,FR,2023-05-15,113283.3,EUR,EXW,import,Commercial goods sale
TXN0000004,CUST00046,CPTY00038,PROD0006,GB,2024-10-15,20376702.93,GBP,EXW,import,Standard trade shipment
TXN0000005,CUST00053,CPTY00088,PROD0015,SG,2024-10-14,9207.76,EUR,FCA,import,Component supply order
TXN0000006,CUST00148,CPTY00034,PROD0010,GH,2023-06-05,19836.73,EUR,FOB,export,Bulk commodity sale
TXN0000007,CUST00084,CPTY00045,PROD0005,IN,2024-09-15,577007.92,USD,DAP,export,Component supply order
TXN0000008,CUST00093,CPTY00222,PROD0002,ZA,2023-12-04,15435.15,EUR,DAP,export,Commercial goods sale
TXN0000009,CUST00128,CPTY00121,PROD0015,SA,2022-06-02,20520.6,EUR,CIF,export,Standard trade shipment
TXN0000010,CUST00025,CPTY00094,PROD0001,IE,2022-05-12,21818.19,EUR,CIF,import,Bulk commodity sale
TXN0000011,CUST00157,CPTY00109,PROD0008,SA,2022-03-29,3152.9,USD,FCA,import,Bulk commodity sale
TXN0000012,CUST00066,CPTY00253,PROD0001,AE,2022-08-21,12991.66,GBP,CIF,import,Commercial goods sale
TXN0000013,CUST00119,CPTY00128,PROD0014,IN,2022-12-09,64714.77,GBP,DAP,export,Commercial goods sale
TXN0000014,CUST00078,CPTY00122,PROD0018,DE,2022-03-17,1906.22,GBP,EXW,export,Component supply order
TXN0000015,CUST00136,CPTY00242,PROD0006,EG,2023-10-29,4201247.22,USD,FCA,import,Distribution contract
TXN0000016,CUST00111,CPTY00010,PROD0006,BR,2023-03-27,8362125.36,GBP,DAP,export,Wholesale supply agreement
TXN0000017,CUST00032,CPTY00125,PROD0011,IE,2023-10-22,499418.09,EUR,FCA,export,Wholesale supply agreement
TXN0000018,CUST00034,CPTY00195,PROD0010,AU,2023-07-06,17478.79,GBP,FCA,export,Wholesale supply agreement
TXN0000019,CUST00158,CPTY00134,PROD0007,US,2022-10-25,463.0,GBP,FOB,export,Standard trade shipment
TXN0000020,CUST00094,CPTY00226,PROD0007,DE,2023-11-05,6749.12,GBP,FCA,export,Standard trade shipment
TXN0000021,CUST00050,CPTY00231,PROD0004,GB,2024-11-08,3137.78,GBP,FCA,export,Component supply order
TXN0000022,CUST00026,CPTY00088,PROD0005,SG,2022-12-14,67809.25,GBP,FOB,import,Distribution contract
TXN0000023,CUST00024,CPTY00213,PROD0011,GB,2022-12-03,1307505.36,USD,EXW,export,Commercial goods sale
TXN0000024,CUST00166,CPTY00064,PROD0014,US,2023-07-20,100427.53,GBP,CIF,export,Standard trade shipment
TXN0000025,CUST00176,CPTY00063,PROD0014,CA,2024-05-31,79150.38,USD,FCA,export,Distribution contract
TXN0000026,CUST00071,CPTY00255,PROD0010,ES,2023-08-06,3424.59,GBP,CIF,export,Wholesale supply agreement
TXN0000027,CUST00037,CPTY00004,PROD0014,IE,2024-06-30,85870.73,USD,FOB,export,Bulk commodity sale
TXN0000028,CUST00076,CPTY00092,PROD0011,BR,2022-03-23,883027.43,USD,FOB,export,Component supply order
TXN0000029,CUST00025,CPTY00164,PROD0007,NG,2022-04-18,9584.41,GBP,DAP,export,Distribution contract
TXN0000030,CUST00099,CPTY00108,PROD0007,AE,2023-03-22,12008.99,GBP,FOB,export,Bulk commodity sale
TXN0000031,CUST00113,CPTY00220,PROD0010,AE,2022-09-12,1057.92,USD,CIF,import,Standard trade shipment
TXN0000032,CUST00178,CPTY00066,PROD0006,FR,2022-01-26,13054172.87,USD,EXW,export,Bulk commodity sale
TXN0000033,CUST00058,CPTY00144,PROD0014,ZA,2022-08-24,83351.88,GBP,FOB,export,Distribution contract
TXN0000034,CUST00036,CPTY00033,PROD0004,ZA,2022-10-25,241714.46,USD,FOB,import,Wholesale supply agreement
TXN0000035,CUST00025,CPTY00055,PROD0001,GH,2024-10-04,81400.28,GBP,FCA,import,Standard trade shipment
TXN0000036,CUST00068,CPTY00046,PROD0009,SG,2024-05-07,46460.3,GBP,EXW,import,Distribution contract
TXN0000037,CUST00109,CPTY00193,PROD0002,GB,2023-01-20,9199.95,GBP,CIF,export,Commercial goods sale
TXN0000038,CUST00012,CPTY00053,PROD0004,QA,2024-11-16,877779.97,USD,FCA,import,Bulk commodity sale
TXN0000039,CUST00137,CPTY00175,PROD0007,CN,2024-07-05,9538.8,GBP,FOB,export,Standard trade shipment
TXN0000040,CUST00083,CPTY00090,PROD0001,NL,2022-10-02,40636.35,USD,CIF,import,Standard trade shipment
TXN0000041,CUST00143,CPTY00147,PROD0005,EG,2023-06-08,7447.1,GBP,FCA,import,Standard trade shipment
TXN0000042,CUST00084,CPTY00228,PROD0010,QA,2024-10-07,7205.72,GBP,DAP,export,Component supply order
TXN0000043,CUST00028,CPTY00225,PROD0007,AE,2023-05-17,1918.88,GBP,EXW,import,Wholesale supply agreement
TXN0000044,CUST00004,CPTY00003,PROD0017,EG,2023-02-11,2417.23,GBP,FCA,import,Commercial goods sale
TXN0000045,CUST00101,CPTY00204,PROD0002,JP,2024-09-17,16186.49,USD,EXW,export,Standard trade shipment
TXN0000046,CUST00098,CPTY00249,PROD0013,KR,2023-12-25,432369.05,USD,DAP,export,Component supply order
TXN0000047,CUST00147,CPTY00174,PROD0011,SA,2023-04-29,295492.27,GBP,FCA,import,Distribution contract
