yr,mo,n_txn,total_value
2022,01,181,253075414.45
2022,02,151,139119284.83
2022,03,183,187133044.37
2022,04,167,245992081.93
2022,05,154,173635334.84
2022,06,175,219410158.86
2022,07,142,133235048.14
2022,08,162,226726777.65
2022,09,173,143086956.8
2022,10,158,88266845.82
2022,11,174,337394044.08
2022,12,167,295425788.66
2023,01,163,287650544.41
2023,02,139,53657014.55
2023,03,169,165102385.72
2023,04,148,136937856.99
2023,05,144,201810062.72
2023,06,177,214764337.81
2023,07,161,278030883.23
2023,08,170,156485189.85
2023,09,161,261823612.52
2023,10,178,221496179.15
2023,11,160,177658353.87
2023,12,171,217768246.2
2024,01,192,202834094.05
2024,02,175,237709425.4
2024,03,146,173756636.38
2024,04,150,171868256.01
2024,05,187,195958370.21
2024,06,174,224642531.81
2024,07,211,221198502.47
2024,08,164,304191036.54
2024,09,160,243808907.53
2024,10,169,421557772.27
2024,11,158,220733931.3
2024,12,186,405751296.34
