product_category,n_txn,n_alerts,alerts_per_100_txn
electronics_consumer,349,71,20.34
electronics_components,342,68,19.88
textiles_finished,295,52,17.63
automotive_parts,309,54,17.48
footwear,362,63,17.4
textiles_raw,325,54,16.62
chemicals_generic,314,52,16.56
packaging,354,56,15.82
machinery_parts,345,54,15.65
furniture,340,53,15.59
plastics_raw,337,52,15.43
machinery_industrial,344,53,15.41
beverages,337,51,15.13
toys,353,52,14.73
paper_products,349,49,14.04
building_materials,321,45,14.02
food_agri,306,41,13.4
pharma_generic,318,40,12.58
