intermediary_id,role_type,n_txn,n_alerts,alerts_per_100_txn
INTM00012,agent,142,32,22.54
INTM00009,agent,142,30,21.13
INTM00007,freight_forwarder,133,27,20.3
INTM00035,agent,129,25,19.38
INTM00001,payment_processor,155,30,19.35
INTM00039,freight_forwarder,152,29,19.08
INTM00006,payment_processor,142,26,18.31
INTM00036,freight_forwarder,115,21,18.26
INTM00026,agent,148,27,18.24
INTM00015,freight_forwarder,143,26,18.18
INTM00004,freight_forwarder,149,27,18.12
INTM00002,freight_forwarder,154,27,17.53
INTM00020,payment_processor,133,23,17.29
INTM00032,agent,147,25,17.01
INTM00019,correspondent_bank,137,23,16.79
INTM00024,freight_forwarder,132,22,16.67
INTM00022,freight_forwarder,152,25,16.45
INTM00023,agent,128,21,16.41
INTM00034,agent,147,24,16.33
INTM00018,freight_forwarder,141,23,16.31
INTM00031,freight_forwarder,130,21,16.15
INTM00038,freight_forwarder,3360,538,16.01
INTM00008,payment_processor,113,18,15.93
INTM00016,freight_forwarder,145,23,15.86
INTM00037,freight_forwarder,143,22,15.38
INTM00028,freight_forwarder,126,19,15.08
INTM00044,freight_forwarder,141,21,14.89
INTM00003,payment_processor,115,17,14.78
INTM00029,agent,151,22,14.57
INTM00043,freight_forwarder,154,22,14.29
INTM00017,correspondent_bank,147,21,14.29
INTM00013,agent,138,19,13.77
INTM00011,freight_forwarder,150,20,13.33
INTM00033,correspondent_bank,129,17,13.18
INTM00040,payment_processor,138,18,13.04
INTM00027,agent,144,18,12.5
INTM00045,freight_forwarder,150,18,12.0
INTM00025,agent,151,18,11.92
INTM00030,agent,127,15,11.81
INTM00005,agent,149,17,11.41
INTM00042,correspondent_bank,142,16,11.27
INTM00021,freight_forwarder,127,13,10.24
INTM00041,freight_forwarder,148,15,10.14
INTM00010,correspondent_bank,148,13,8.78
INTM00014,agent,133,11,8.27
