counterparty_id,n_txn,n_alerts,alert_rate_per_100,n_claims,claim_rate_per_100
CPTY00002,32,17,53.13,3,9.38
CPTY00148,32,16,50.0,0,0.0
CPTY00218,35,17,48.57,1,2.86
CPTY00156,26,12,46.15,1,3.85
CPTY00220,31,12,38.71,2,6.45
CPTY00034,16,6,37.5,0,0.0
CPTY00141,25,9,36.0,2,8.0
CPTY00124,20,7,35.0,0,0.0
CPTY00180,24,8,33.33,0,0.0
CPTY00120,15,5,33.33,0,0.0
CPTY00073,24,8,33.33,0,0.0
CPTY00023,18,6,33.33,0,0.0
CPTY00209,22,7,31.82,0,0.0
CPTY00064,22,7,31.82,0,0.0
CPTY00253,19,6,31.58,2,10.53
CPTY00245,19,6,31.58,0,0.0
CPTY00142,19,6,31.58,1,5.26
CPTY00045,35,11,31.43,3,8.57
CPTY00144,23,7,30.43,0,0.0
CPTY00099,23,7,30.43,0,0.0
CPTY00087,17,5,29.41,0,0.0
CPTY00083,21,6,28.57,1,4.76
CPTY00127,25,7,28.0,1,4.0
CPTY00119,25,7,28.0,1,4.0
CPTY00017,18,5,27.78,1,5.56
CPTY00102,22,6,27.27,1,4.55
CPTY00084,22,6,27.27,0,0.0
CPTY00191,15,4,26.67,0,0.0
CPTY00179,15,4,26.67,0,0.0
CPTY00096,15,4,26.67,0,0.0
CPTY00068,19,5,26.32,0,0.0
CPTY00223,23,6,26.09,1,4.35
CPTY00143,23,6,26.09,1,4.35
CPTY00082,23,6,26.09,1,4.35
CPTY00234,27,7,25.93,0,0.0
CPTY00249,24,6,25.0,0,0.0
CPTY00237,16,4,25.0,0,0.0
CPTY00095,24,6,25.0,0,0.0
CPTY00077,24,6,25.0,1,4.17
CPTY00040,24,6,25.0,1,4.17
CPTY00004,20,5,25.0,3,15.0
CPTY00195,21,5,23.81,0,0.0
CPTY00155,21,5,23.81,0,0.0
CPTY00132,21,5,23.81,2,9.52
CPTY00252,17,4,23.53,1,5.88
CPTY00078,17,4,23.53,0,0.0
CPTY00015,30,7,23.33,3,10.0
CPTY00251,26,6,23.08,2,7.69
CPTY00151,26,6,23.08,3,11.54
CPTY00049,26,6,23.08,0,0.0
CPTY00167,22,5,22.73,1,4.55
CPTY00123,22,5,22.73,1,4.55
CPTY00115,22,5,22.73,0,0.0
CPTY00231,27,6,22.22,1,3.7
CPTY00202,27,6,22.22,1,3.7
CPTY00111,27,6,22.22,0,0.0
CPTY00029,27,6,22.22,1,3.7
CPTY00046,32,7,21.88,0,0.0
CPTY00254,23,5,21.74,0,0.0
CPTY00145,28,6,21.43,4,14.29
CPTY00008,14,3,21.43,0,0.0
CPTY00214,19,4,21.05,0,0.0
CPTY00193,19,4,21.05,0,0.0
CPTY00088,24,5,20.83,0,0.0
CPTY00057,24,5,20.83,2,8.33
CPTY00051,24,5,20.83,1,4.17
CPTY00003,29,6,20.69,0,0.0
CPTY00259,25,5,20.0,1,4.0
CPTY00238,20,4,20.0,0,0.0
CPTY00233,30,6,20.0,2,6.67
CPTY00226,20,4,20.0,0,0.0
CPTY00190,20,4,20.0,0,0.0
CPTY00182,25,5,20.0,2,8.0
CPTY00059,25,5,20.0,1,4.0
CPTY00038,25,5,20.0,2,8.0
CPTY00158,31,6,19.35,0,0.0
CPTY00174,26,5,19.23,1,3.85
CPTY00113,26,5,19.23,1,3.85
CPTY00146,21,4,19.05,0,0.0
CPTY00117,21,4,19.05,2,9.52
CPTY00116,21,4,19.05,0,0.0
CPTY00086,21,4,19.05,0,0.0
CPTY00018,21,4,19.05,0,0.0
CPTY00063,27,5,18.52,1,3.7
CPTY00232,22,4,18.18,0,0.0
CPTY00192,22,4,18.18,2,9.09
CPTY00168,22,4,18.18,2,9.09
CPTY00054,22,4,18.18,0,0.0
CPTY00033,22,4,18.18,1,4.55
CPTY00205,28,5,17.86,3,10.71
CPTY00094,28,5,17.86,2,7.14
CPTY00013,28,5,17.86,0,0.0
CPTY00207,17,3,17.65,0,0.0
CPTY00172,17,3,17.65,1,5.88
CPTY00152,17,3,17.65,2,11.76
CPTY00186,23,4,17.39,0,0.0
CPTY00114,23,4,17.39,0,0.0
CPTY00090,23,4,17.39,0,0.0
CPTY00085,23,4,17.39,0,0.0
CPTY00065,23,4,17.39,0,0.0
CPTY00037,23,4,17.39,1,4.35
CPTY00036,23,4,17.39,3,13.04
CPTY00027,23,4,17.39,0,0.0
CPTY00257,29,5,17.24,2,6.9
CPTY00010,29,5,17.24,0,0.0
CPTY00224,24,4,16.67,1,4.17
CPTY00201,24,4,16.67,0,0.0
CPTY00177,24,4,16.67,1,4.17
CPTY00173,18,3,16.67,3,16.67
CPTY00137,24,4,16.67,1,4.17
CPTY00129,18,3,16.67,0,0.0
CPTY00097,18,3,16.67,2,11.11
CPTY00066,24,4,16.67,0,0.0
CPTY00062,30,5,16.67,1,3.33
CPTY00052,24,4,16.67,0,0.0
CPTY00112,31,5,16.13,0,0.0
CPTY00206,25,4,16.0,1,4.0
CPTY00187,25,4,16.0,0,0.0
CPTY00005,25,4,16.0,0,0.0
CPTY00081,19,3,15.79,1,5.26
CPTY00067,19,3,15.79,0,0.0
CPTY00089,32,5,15.63,0,0.0
CPTY00014,26,4,15.38,2,7.69
CPTY00258,20,3,15.0,1,5.0
CPTY00164,20,3,15.0,0,0.0
CPTY00098,20,3,15.0,1,5.0
CPTY00007,20,3,15.0,0,0.0
CPTY00244,27,4,14.81,1,3.7
CPTY00240,27,4,14.81,1,3.7
CPTY00184,27,4,14.81,0,0.0
CPTY00171,27,4,14.81,1,3.7
CPTY00130,27,4,14.81,0,0.0
CPTY00092,27,4,14.81,1,3.7
CPTY00020,27,4,14.81,0,0.0
CPTY00235,21,3,14.29,4,19.05
CPTY00222,14,2,14.29,0,0.0
CPTY00153,21,3,14.29,0,0.0
CPTY00128,28,4,14.29,1,3.57
CPTY00118,21,3,14.29,0,0.0
CPTY00106,21,3,14.29,2,9.52
CPTY00058,28,4,14.29,1,3.57
