intermediary_id,n_txn,median_value,q1_value,q3_value,alert_rate,claim_rate,tp_payer_rate,vw_mismatch_rate
INTM00012,142,24513.25,7462.04,187031.22,22.54,2.82,1.41,0.7
INTM00009,142,32132.24,8586.54,333777.72,21.13,3.52,2.11,2.11
INTM00007,133,32372.58,5102.35,219717.3,20.3,3.76,4.51,2.26
INTM00035,129,26551.15,6323.24,210945.08,19.38,2.33,1.55,2.33
INTM00001,155,19364.55,6227.84,157040.64,19.35,4.52,1.94,0.65
INTM00039,152,43189.82,9062.67,267852.38,19.08,1.97,5.26,1.97
INTM00006,142,55167.12,10025.25,276601.87,18.31,5.63,0.7,2.11
INTM00036,115,41733.25,6290.91,234242.86,18.26,0.0,0.87,1.74
INTM00026,148,56147.24,8658.58,306505.87,18.24,4.73,2.7,4.05
INTM00015,143,26328.39,7616.72,163785.48,18.18,4.2,0.7,0.7
INTM00004,149,35596.99,5974.14,133402.47,18.12,5.37,2.68,1.34
INTM00002,154,21138.02,4568.27,115448.59,17.53,3.9,4.55,0.65
INTM00020,133,33676.1,7397.5,193811.94,17.29,2.26,3.01,0.75
INTM00032,147,35999.69,7653.0,244521.86,17.01,3.4,1.36,0.68
INTM00019,137,40236.65,6009.05,333834.95,16.79,5.11,0.73,3.65
INTM00024,132,30752.46,7184.96,242370.71,16.67,3.03,3.03,3.03
INTM00022,152,43994.88,6971.2,325765.58,16.45,1.32,1.32,1.97
INTM00023,128,40211.01,5578.77,198144.28,16.41,3.91,3.91,1.56
INTM00034,147,18884.13,4385.61,219008.96,16.33,2.72,2.04,2.04
INTM00018,141,26935.05,6406.08,221454.03,16.31,2.84,2.84,0.71
INTM00031,130,45266.58,8431.76,273344.57,16.15,2.31,2.31,0.0
INTM00038,3360,36636.78,7011.9,218053.74,16.01,3.04,2.23,1.16
INTM00008,113,77230.13,6706.94,439024.72,15.93,4.42,1.77,0.88
INTM00016,145,39732.46,7199.32,217798.95,15.86,2.07,2.07,0.69
INTM00037,143,30142.22,6349.06,215353.52,15.38,3.5,2.8,0.7
INTM00028,126,42106.9,6397.28,160277.36,15.08,4.76,2.38,1.59
INTM00044,141,43305.14,8116.85,316676.9,14.89,2.13,2.13,3.55
INTM00003,115,33005.48,6546.64,108191.13,14.78,4.35,0.87,0.87
INTM00029,151,56493.47,9359.85,323395.7,14.57,1.99,0.66,0.66
INTM00017,147,17698.47,6462.12,214403.56,14.29,2.72,1.36,0.0
INTM00043,154,42838.88,7601.54,182981.66,14.29,1.95,0.65,0.65
INTM00013,138,46105.94,6686.09,199701.65,13.77,1.45,0.72,0.0
INTM00011,150,26197.03,5818.24,98921.08,13.33,1.33,1.33,2.67
INTM00033,129,19735.24,4570.87,118143.77,13.18,3.88,0.0,3.1
INTM00040,138,18526.43,4562.73,181249.26,13.04,2.17,1.45,0.72
INTM00027,144,40808.94,4887.11,172885.15,12.5,2.78,2.08,1.39
INTM00045,150,42212.66,7312.46,202502.49,12.0,1.33,0.67,2.0
INTM00025,151,27445.53,6320.62,169305.68,11.92,2.65,3.31,2.65
INTM00030,127,50962.35,8931.13,410959.78,11.81,0.79,3.94,0.79
INTM00005,149,46317.62,9207.71,181448.54,11.41,0.67,0.67,1.34
INTM00042,142,35889.87,6032.58,218856.91,11.27,3.52,0.7,0.7
INTM00021,127,51505.94,8314.91,218793.09,10.24,2.36,0.79,1.57
INTM00041,148,42261.48,7637.87,287207.5,10.14,2.03,0.68,3.38
INTM00010,148,34849.82,6947.77,185556.89,8.78,1.35,1.35,0.68
INTM00014,133,68768.22,7696.5,400199.29,8.27,2.26,1.5,2.26
