product_category,n_txn,median_value,q1_value,q3_value,alert_rate,claim_rate,tp_payer_rate,vw_mismatch_rate
footwear,362,97309.68,45920.59,178623.6,17.4,3.59,2.21,0.83
packaging,354,4553.86,1838.87,9593.82,15.82,2.26,1.69,4.52
toys,353,50988.57,19428.67,100293.33,14.73,4.82,3.12,3.68
electronics_consumer,349,447662.41,185586.59,782193.17,20.34,3.44,2.29,0.57
paper_products,349,4449.51,2238.16,7959.89,14.04,2.01,1.43,0.57
machinery_parts,345,350786.16,117244.35,639552.52,15.65,1.74,2.61,0.29
machinery_industrial,344,14632382.9,6003715.53,28552464.52,15.41,5.81,1.74,0.29
electronics_components,342,101719.56,38588.71,220093.22,19.88,2.34,2.05,0.0
furniture,340,1013507.1,455086.84,1986989.3,15.59,3.24,1.47,3.24
beverages,337,4923.84,2115.01,8900.4,15.13,3.86,2.08,0.3
plastics_raw,337,3912.84,1737.01,7149.24,15.43,1.19,1.48,0.3
textiles_raw,325,17874.67,8772.37,33834.15,16.62,3.38,2.46,0.92
building_materials,321,8153.43,3388.59,16036.28,14.02,1.56,1.25,0.62
pharma_generic,318,59049.54,27530.63,104933.52,12.58,4.72,1.26,0.63
chemicals_generic,314,28586.76,10148.42,51100.58,16.56,2.87,2.23,0.96
automotive_parts,309,478058.57,195266.57,1176583.38,17.48,2.91,2.27,0.65
food_agri,306,3453.73,1315.46,6514.23,13.4,1.96,1.96,3.92
textiles_finished,295,54429.02,25696.41,91220.43,17.63,2.03,2.37,3.39
