year_month,n_txn,median_value,q1_value,q3_value,alert_rate,claim_rate,tp_payer_rate,vw_mismatch_rate
2022-01,181,26932.13,7125.61,215528.36,16.02,2.21,1.1,1.66
2022-02,151,28169.28,7081.23,176417.03,13.91,4.64,2.65,0.0
2022-03,183,26569.77,7140.91,136289.96,17.49,3.28,1.09,3.28
2022-04,167,34072.22,7754.34,197802.92,18.56,4.19,2.99,2.99
2022-05,154,40465.46,7339.77,236442.18,16.23,3.25,0.65,0.0
2022-06,175,29304.32,7284.92,205739.88,20.0,5.14,1.71,1.71
2022-07,142,31216.78,5682.72,198813.37,16.9,4.23,2.82,0.0
2022-08,162,31411.93,5714.11,245398.87,15.43,1.23,1.23,1.23
2022-09,173,44859.99,6144.21,302063.05,17.34,2.89,2.89,0.58
2022-10,158,54153.18,9698.14,323591.74,17.09,3.16,3.16,0.63
2022-11,174,34942.77,6847.3,184560.16,16.09,1.15,2.87,1.15
2022-12,167,43746.65,8265.21,346066.07,16.17,4.79,1.2,0.6
2023-01,163,31984.71,5541.86,210030.98,11.66,4.29,1.23,1.23
2023-02,139,24860.56,5213.84,151315.76,17.99,2.88,1.44,2.16
2023-03,169,33676.1,6728.72,279415.69,13.02,2.96,2.37,0.59
2023-04,148,39007.4,6490.44,262916.43,20.27,2.7,1.35,1.35
2023-05,144,37633.0,6298.02,316775.47,19.44,3.47,0.69,0.69
2023-06,177,24368.11,6239.68,154078.33,15.82,1.13,2.82,0.56
2023-07,161,21956.62,6122.13,217332.9,14.91,1.86,0.62,0.62
2023-08,170,48623.72,8326.18,194744.8,11.18,3.53,2.35,0.59
2023-09,161,34231.11,6765.8,195403.23,16.15,1.24,1.24,1.86
2023-10,178,33960.86,5709.8,216697.98,14.61,2.81,2.81,1.12
2023-11,160,35394.76,6986.38,176660.91,9.38,1.88,0.0,1.25
2023-12,171,45705.12,4917.93,309144.71,16.96,2.92,2.92,1.75
2024-01,192,43775.48,6634.66,332081.53,17.71,3.65,1.56,1.56
2024-02,175,32992.7,7317.9,226282.15,18.86,3.43,2.29,1.71
2024-03,146,46783.7,9092.2,242206.06,15.07,2.05,0.68,3.42
2024-04,150,47597.56,6799.98,215690.11,17.33,2.0,2.67,0.67
2024-05,187,31660.01,7454.76,154198.77,17.11,4.28,1.07,1.6
2024-06,174,39672.32,7149.78,201769.85,18.39,1.72,2.87,2.3
2024-07,211,47591.12,6940.12,245954.25,12.8,4.27,1.9,0.95
2024-08,164,45647.56,6939.1,297543.64,13.41,3.05,2.44,1.83
2024-09,160,26384.9,5340.55,158731.88,16.88,3.12,2.5,1.88
2024-10,169,41159.99,7082.43,257082.67,14.79,1.78,1.78,1.78
2024-11,158,31867.32,5119.14,147480.53,15.82,2.53,5.7,1.27
2024-12,186,43040.32,8707.7,265280.16,16.13,3.76,2.15,3.76
