cpty_a,cpty_b,evidence_type,n_independent_evidence_types,evidence_buckets,n_evidence_buckets,classification
CPTY00006,CPTY00010,['declared_relationship_shared_address'],1,['declared'],1,MEDIUM
CPTY00007,CPTY00213,['declared_relationship_shared_director'],1,['declared'],1,MEDIUM
CPTY00013,CPTY00219,['declared_relationship_shared_director'],1,['declared'],1,MEDIUM
CPTY00021,CPTY00103,['declared_relationship_shared_registered_agent'],1,['declared'],1,MEDIUM
CPTY00023,CPTY00120,['declared_relationship_shared_registered_agent'],1,['declared'],1,MEDIUM
CPTY00049,CPTY00128,['declared_relationship_shared_director'],1,['declared'],1,MEDIUM
CPTY00055,CPTY00171,['declared_relationship_shared_director'],1,['declared'],1,MEDIUM
CPTY00073,CPTY00229,['declared_relationship_parent_subsidiary'],1,['declared'],1,MEDIUM
CPTY00077,CPTY00238,['declared_relationship_shared_registered_agent'],1,['declared'],1,MEDIUM
CPTY00091,CPTY00139,['declared_relationship_parent_subsidiary'],1,['declared'],1,MEDIUM
CPTY00105,CPTY00116,['declared_relationship_shared_director'],1,['declared'],1,MEDIUM
CPTY00112,CPTY00204,['declared_relationship_parent_subsidiary'],1,['declared'],1,MEDIUM
CPTY00113,CPTY00120,['declared_relationship_shared_registered_agent'],1,['declared'],1,MEDIUM
CPTY00121,CPTY00123,['declared_relationship_shared_address'],1,['declared'],1,MEDIUM
CPTY00126,CPTY00201,['declared_relationship_shared_director'],1,['declared'],1,MEDIUM
CPTY00131,CPTY00231,['declared_relationship_shared_registered_agent'],1,['declared'],1,MEDIUM
CPTY00136,CPTY00219,['declared_relationship_shared_director'],1,['declared'],1,MEDIUM
CPTY00138,CPTY00185,['declared_relationship_shared_registered_agent'],1,['declared'],1,MEDIUM
CPTY00154,CPTY00184,['declared_relationship_shared_registered_agent'],1,['declared'],1,MEDIUM
CPTY00156,CPTY00164,['declared_relationship_shared_director'],1,['declared'],1,MEDIUM
CPTY00172,CPTY00179,['declared_relationship_shared_director'],1,['declared'],1,MEDIUM
CPTY00183,CPTY00188,['declared_relationship_parent_subsidiary'],1,['declared'],1,MEDIUM
CPTY00183,CPTY00229,['declared_relationship_shared_address'],1,['declared'],1,MEDIUM
CPTY00249,CPTY00251,['declared_relationship_shared_address'],1,['declared'],1,MEDIUM
CPTY00002,CPTY00045,"['shared_address', 'shared_bank_account']",2,"['address', 'bank']",2,STRONG
CPTY00002,CPTY00148,"['declared_relationship_shared_director', 'shared_address', 'shared_bank_account']",3,"['address', 'bank', 'declared']",3,STRONG
CPTY00002,CPTY00156,"['shared_address', 'shared_bank_account']",2,"['address', 'bank']",2,STRONG
CPTY00009,CPTY00249,"['near_duplicate_name', 'shared_address', 'shared_bank_account', 'shared_email', 'shared_phone']",5,"['address', 'bank', 'email', 'name', 'phone']",5,STRONG
CPTY00029,CPTY00247,"['shared_address', 'shared_bank_account', 'shared_email', 'shared_phone']",4,"['address', 'bank', 'email', 'phone']",4,STRONG
CPTY00045,CPTY00148,"['shared_address', 'shared_bank_account']",2,"['address', 'bank']",2,STRONG
