customer_id,counterparty_id,n_txn,total_value,n_alerts,n_claims
CUST00001,CPTY00012,1,1075.81,0.0,0.0
CUST00001,CPTY00016,1,1319.81,0.0,0.0
CUST00001,CPTY00019,1,193517.14,0.0,0.0
CUST00001,CPTY00022,1,24834.52,0.0,0.0
CUST00001,CPTY00029,1,217171.58,1.0,1.0
CUST00001,CPTY00048,1,210332.84,1.0,0.0
CUST00001,CPTY00060,1,25351.86,0.0,0.0
CUST00001,CPTY00077,1,12111.73,1.0,0.0
CUST00001,CPTY00085,1,5820.26,0.0,0.0
CUST00001,CPTY00089,1,9116.2,1.0,0.0
CUST00001,CPTY00100,1,9654.71,0.0,0.0
CUST00001,CPTY00137,2,13859.96,1.0,0.0
CUST00001,CPTY00150,1,66471.4,0.0,0.0
CUST00001,CPTY00156,1,8639.75,0.0,1.0
CUST00001,CPTY00157,1,2297523.29,0.0,0.0
CUST00001,CPTY00158,1,6268.02,0.0,0.0
CUST00001,CPTY00183,1,2342.67,0.0,0.0
CUST00001,CPTY00187,1,20772.62,1.0,0.0
CUST00001,CPTY00192,1,41186.71,0.0,1.0
CUST00001,CPTY00200,1,45606.85,0.0,0.0
CUST00001,CPTY00203,1,4760.41,0.0,0.0
CUST00001,CPTY00206,1,118633.4,0.0,0.0
CUST00001,CPTY00220,1,32.74,0.0,0.0
CUST00001,CPTY00225,2,3382096.81,0.0,0.0
CUST00001,CPTY00226,1,230.45,0.0,0.0
CUST00001,CPTY00233,1,923937.79,0.0,0.0
CUST00001,CPTY00246,2,28399.55,0.0,0.0
CUST00001,CPTY00247,1,24301.11,1.0,0.0
CUST00001,CPTY00254,2,220376.33,0.0,0.0
CUST00002,CPTY00013,1,7959.89,0.0,0.0
CUST00002,CPTY00015,1,706320.32,0.0,1.0
CUST00002,CPTY00022,1,61054.86,0.0,0.0
CUST00002,CPTY00029,1,490716.08,0.0,0.0
CUST00002,CPTY00035,1,730.27,1.0,0.0
CUST00002,CPTY00046,1,14226.87,0.0,0.0
CUST00002,CPTY00049,1,74840.45,1.0,0.0
CUST00002,CPTY00051,1,49898.26,1.0,0.0
CUST00002,CPTY00053,1,66630.42,0.0,0.0
CUST00002,CPTY00059,1,25406.96,0.0,0.0
CUST00002,CPTY00061,1,3504.93,0.0,0.0
CUST00002,CPTY00062,1,9746.33,0.0,0.0
CUST00002,CPTY00067,1,15690.82,0.0,0.0
CUST00002,CPTY00075,1,6309.28,0.0,0.0
CUST00002,CPTY00078,1,108107.0,1.0,0.0
CUST00002,CPTY00096,1,264747.63,0.0,0.0
CUST00002,CPTY00103,1,3831.27,0.0,0.0
CUST00002,CPTY00110,1,6529.9,0.0,0.0
CUST00002,CPTY00117,1,4440.57,0.0,0.0
CUST00002,CPTY00130,1,132957.95,0.0,0.0
CUST00002,CPTY00139,1,47680005.3,0.0,0.0
CUST00002,CPTY00143,1,178962.18,0.0,0.0
CUST00002,CPTY00144,2,91983.5,1.0,0.0
CUST00002,CPTY00151,1,7043.71,0.0,0.0
CUST00002,CPTY00153,1,262962.88,0.0,0.0
CUST00002,CPTY00168,2,1949765.05,1.0,0.0
CUST00002,CPTY00178,1,130025.78,0.0,0.0
CUST00002,CPTY00179,1,7652.99,0.0,0.0
CUST00002,CPTY00186,1,1294.48,0.0,0.0
CUST00002,CPTY00191,1,7676.65,0.0,0.0
CUST00002,CPTY00213,1,17268.23,0.0,0.0
CUST00002,CPTY00219,1,20809.88,0.0,0.0
CUST00002,CPTY00227,1,35587.74,0.0,0.0
CUST00002,CPTY00236,1,2340171.27,0.0,0.0
CUST00002,CPTY00239,1,258811.5,0.0,0.0
CUST00002,CPTY00241,1,52893.9,0.0,0.0
CUST00002,CPTY00246,1,422078.9,0.0,0.0
CUST00003,CPTY00007,2,6421494.41,1.0,0.0
